,name,company,year,Price,fuel_type,kms
0,Hyundai Santro Xing,Hyundai,2007,80000,Petrol,45000
1,Mahindra Jeep CL550,Mahindra,2006,425000,Diesel,40
2,Hyundai Grand i10,Hyundai,2014,325000,Petrol,28000
3,Ford EcoSport Titanium,Ford,2014,575000,Diesel,36000
4,Ford Figo,Ford,2012,175000,Diesel,41000
5,Hyundai Eon,Hyundai,2013,190000,Petrol,25000
6,Ford EcoSport Ambiente,Ford,2016,830000,Diesel,24530
7,Maruti Suzuki Alto,Maruti,2015,250000,Petrol,60000
8,Skoda Fabia Classic,Skoda,2010,182000,Petrol,60000
9,Maruti Suzuki Stingray,Maruti,2015,315000,Petrol,30000
10,Hyundai Elite i20,Hyundai,2014,415000,Petrol,32000
11,Mahindra Scorpio SLE,Mahindra,2015,320000,Diesel,48660
12,Hyundai Santro Xing,Hyundai,2007,80000,Petrol,45000
13,Mahindra Jeep CL550,Mahindra,2006,425000,Diesel,40
14,Audi A8,Audi,2017,1000000,Petrol,4000
15,Audi Q7,Audi,2014,500000,Diesel,16934
16,Mahindra Scorpio S10,Mahindra,2016,350000,Diesel,43000
17,Maruti Suzuki Alto,Maruti,2014,160000,Petrol,35550
18,Mahindra Scorpio S10,Mahindra,2016,350000,Diesel,43000
19,Mahindra Scorpio S10,Mahindra,2016,310000,Diesel,39522
20,Maruti Suzuki Alto,Maruti,2015,75000,Petrol,39000
21,Hyundai i20 Sportz,Hyundai,2012,100000,Petrol,55000
22,Hyundai i20 Sportz,Hyundai,2012,100000,Petrol,55000
23,Hyundai i20 Sportz,Hyundai,2012,100000,Petrol,55000
24,Maruti Suzuki Alto,Maruti,2017,190000,Petrol,72000
25,Maruti Suzuki Vitara,Maruti,2016,290000,Diesel,15975
26,Maruti Suzuki Alto,Maruti,2008,95000,Petrol,70000
27,Mahindra Bolero DI,Mahindra,2017,180000,Diesel,23452
28,Maruti Suzuki Swift,Maruti,2014,385000,Diesel,35522
29,Mahindra Scorpio S10,Mahindra,2015,250000,Diesel,48508
30,Maruti Suzuki Swift,Maruti,2017,180000,Petrol,15487
31,Maruti Suzuki Wagon,Maruti,2013,105000,Petrol,39000
32,Maruti Suzuki Wagon,Maruti,2013,105000,Petrol,39000
33,Toyota Innova 2.0,Toyota,2012,650000,Diesel,82000
34,Renault Lodgy 85,Renault,2018,689999,Diesel,20000
35,Skoda Yeti Ambition,Skoda,2012,448000,Diesel,68000
36,Maruti Suzuki Baleno,Maruti,2017,549000,Diesel,32000
37,Renault Duster 110,Renault,2012,501000,Diesel,38000
38,Renault Duster 85,Renault,2013,489999,Diesel,27000
39,Honda City 1.5,Honda,2011,280000,Petrol,33000
40,Maruti Suzuki Alto,Maruti,2015,250000,Petrol,60000
41,Maruti Suzuki Dzire,Maruti,2013,349999,Diesel,46000
42,Honda Amaze,Honda,2013,284999,Diesel,46000
43,Honda Amaze 1.5,Honda,2015,345000,Diesel,36000
44,Honda City,Honda,2015,499999,Petrol,55000
45,Datsun Redi GO,Datsun,2017,235000,Petrol,16000
46,Maruti Suzuki SX4,Maruti,2010,249999,Petrol,36000
47,Mitsubishi Pajero Sport,Mitsubishi,2015,1475000,Diesel,47000
48,Mahindra Bolero DI,Mahindra,2017,180000,Diesel,23452
49,Maruti Suzuki Swift,Maruti,2014,385000,Diesel,35522
50,Mahindra Scorpio S10,Mahindra,2015,250000,Diesel,48508
51,Maruti Suzuki Swift,Maruti,2017,180000,Petrol,15487
52,Maruti Suzuki Wagon,Maruti,2013,105000,Petrol,39000
53,Maruti Suzuki Wagon,Maruti,2013,105000,Petrol,39000
54,Mahindra Scorpio S10,Mahindra,2015,395000,Diesel,35000
55,Maruti Suzuki Swift,Maruti,2017,220000,Petrol,30874
56,Honda City ZX,Honda,2017,170000,Diesel,15000
57,Maruti Suzuki Wagon,Maruti,2013,85000,Petrol,29685
58,Ford Figo,Ford,2012,175000,Diesel,41000
